Palavra_Chave,Frequencia,Offset,Timestamp_Coleta
Economia - organizações não-governamentais,1,13950,2025-12-30T16:09:17.664456
Economia - política pública - meio ambiente,3,13950,2025-12-30T16:09:17.664456
Economia - redação de textos jornalísticos,1,13950,2025-12-30T16:09:17.664456
Economia - Tributação - Combustível,1,13950,2025-12-30T16:09:17.664456
Economia - União Européia,2,13950,2025-12-30T16:09:17.664456
Economia - Uruguai,1,13950,2025-12-30T16:09:17.664456
Economia aberta,2,13950,2025-12-30T16:09:17.664456
Economia açucareira,1,13950,2025-12-30T16:09:17.664456
Economia agrícola,11,13950,2025-12-30T16:09:17.664456
Economia agrícola - Brasil,3,13950,2025-12-30T16:09:17.664456
Economia ambiental,39,13950,2025-12-30T16:09:17.664456
Economia ambiental - abastecimento de água,1,13950,2025-12-30T16:09:17.664456
Economia ambiental - Brasil,4,13950,2025-12-30T16:09:17.664456
Economia ambiental - Distrito Federal (Brasil),2,13950,2025-12-30T16:09:17.664456
Economia Azul,1,13950,2025-12-30T16:09:17.664456
Economia baseada no conhecimento,1,13950,2025-12-30T16:09:17.664456
Economia brasileira,1,13950,2025-12-30T16:09:17.664456
Economia camponesa,1,13950,2025-12-30T16:09:17.664456
Economia circular,26,13950,2025-12-30T16:09:17.664456
Economia colaborativa,1,13950,2025-12-30T16:09:17.664456
Economia compartihada,1,13950,2025-12-30T16:09:17.664456
Economia compartilhada,6,13950,2025-12-30T16:09:17.664456
Economia comportamental,5,13950,2025-12-30T16:09:17.664456
Economia criativa,5,13950,2025-12-30T16:09:17.664456
Economia da Defesa,1,13950,2025-12-30T16:09:17.664456
Economia da educação,1,13950,2025-12-30T16:09:17.664456
Economia da informação,3,13950,2025-12-30T16:09:17.664456
Economia da mídia,1,13950,2025-12-30T16:09:17.664456
Economia da restauração,1,13950,2025-12-30T16:09:17.664456
Economia da saúde,10,13950,2025-12-30T16:09:17.664456
Economia das instituições,1,13950,2025-12-30T16:09:17.664456
Economia de custos de transações,1,13950,2025-12-30T16:09:17.664456
Economia de Defesa,1,13950,2025-12-30T16:09:17.664456
Economia de energia,2,13950,2025-12-30T16:09:17.664456
Economia de Escala,1,13950,2025-12-30T16:09:17.664456
Economia de escala,1,13950,2025-12-30T16:09:17.664456
Economia de serviços,1,13950,2025-12-30T16:09:17.664456
Economia digital,6,13950,2025-12-30T16:09:17.664456
Economia do compartilhamento,1,13950,2025-12-30T16:09:17.664456
Economia do conhecimento,2,13950,2025-12-30T16:09:17.664456
Economia do crime,3,13950,2025-12-30T16:09:17.664456
Economia do desequilíbrio,1,13950,2025-12-30T16:09:17.664456
Economia do espaço,1,13950,2025-12-30T16:09:17.664456
Economia do mercado,1,13950,2025-12-30T16:09:17.664456
Economia do mercado - Brasil,3,13950,2025-12-30T16:09:17.664456
Economia do saneamento,1,13950,2025-12-30T16:09:17.664456
Economia doméstica,4,13950,2025-12-30T16:09:17.664456
Economia dos custos de transação,2,13950,2025-12-30T16:09:17.664456
Economia e educação,1,13950,2025-12-30T16:09:17.664456
Economia e meio ambiente,1,13950,2025-12-30T16:09:17.664456
Economia em saúde,1,14000,2025-12-30T16:09:21.812376
Economia espacial,2,14000,2025-12-30T16:09:21.812376
Economia farmacêutica,1,14000,2025-12-30T16:09:21.812376
Economia florestal,29,14000,2025-12-30T16:09:21.812376
Economia florestal - eucalipto,1,14000,2025-12-30T16:09:21.812376
Economia global,1,14000,2025-12-30T16:09:21.812376
Economia heterodoxa,1,14000,2025-12-30T16:09:21.812376
Economia informal,4,14000,2025-12-30T16:09:21.812376
Economia institucional,2,14000,2025-12-30T16:09:21.812376
Economia institucionalista,1,14000,2025-12-30T16:09:21.812376
Economia internacional,7,14000,2025-12-30T16:09:21.812376
Economia Keynesiana,6,14000,2025-12-30T16:09:21.812376
Economia marítima,1,14000,2025-12-30T16:09:21.812376
Economia monetária,1,14000,2025-12-30T16:09:21.812376
Economia monetária de produção,1,14000,2025-12-30T16:09:21.812376
Economia ortodoxa,1,14000,2025-12-30T16:09:21.812376
Economia política,13,14000,2025-12-30T16:09:21.812376
Economia política internacional,1,14000,2025-12-30T16:09:21.812376
Economia portuária,1,14000,2025-12-30T16:09:21.812376
Economia pós-keynesiana,4,14000,2025-12-30T16:09:21.812376
Economia Queer,1,14000,2025-12-30T16:09:21.812376
Economia regional,10,14000,2025-12-30T16:09:21.812376
Economia restrita,1,14000,2025-12-30T16:09:21.812376
Economia social,6,14000,2025-12-30T16:09:21.812376
Economia social - Cabo Verde,1,14000,2025-12-30T16:09:21.812376
Economia solidária,32,14000,2025-12-30T16:09:21.812376
Economia submersa,1,14000,2025-12-30T16:09:21.812376
Economia urbana,8,14000,2025-12-30T16:09:21.812376
Economia verde,2,14000,2025-12-30T16:09:21.812376
Economias com efeitos de rede,1,14000,2025-12-30T16:09:21.812376
Economias de escala,1,14000,2025-12-30T16:09:21.812376
Economias emergentes,2,14000,2025-12-30T16:09:21.812376
Economic development,1,14000,2025-12-30T16:09:21.812376
Economicidade,4,14000,2025-12-30T16:09:21.812376
Economistas,1,14000,2025-12-30T16:09:21.812376
Economistas - Brasil,1,14000,2025-12-30T16:09:21.812376
economy Of Information,1,14000,2025-12-30T16:09:21.812376
Ecoparque coletivo,1,14000,2025-12-30T16:09:21.812376
Ecopedagogia,3,14000,2025-12-30T16:09:21.812376
Ecoprodutos,1,14000,2025-12-30T16:09:21.812376
Ecorcadiografia,1,14000,2025-12-30T16:09:21.812376
Ecorregamentos de terra,1,14000,2025-12-30T16:09:21.812376
Ecorregamentos de terra - retroanálise,1,14000,2025-12-30T16:09:21.812376
Ecorregiões,1,14000,2025-12-30T16:09:21.812376
Ecosofia,1,14000,2025-12-30T16:09:21.812376
Ecossistema,31,14000,2025-12-30T16:09:21.812376
Ecossistema - Amazônia,1,14000,2025-12-30T16:09:21.812376
Ecossistema - Cerrados,4,14000,2025-12-30T16:09:21.812376
Ecossistema - cerrados,4,14000,2025-12-30T16:09:21.812376
Ecossistema - germinação,1,14000,2025-12-30T16:09:21.812376
Ecossistema aberto,1,14050,2025-12-30T16:09:25.892517
Ecossistema aquático,5,14050,2025-12-30T16:09:25.892517
Ecossistema de aprendizagem,1,14050,2025-12-30T16:09:25.892517
Ecossistema de inovação,7,14050,2025-12-30T16:09:25.892517
Ecossistema de inovação no setor público,2,14050,2025-12-30T16:09:25.892517
Ecossistema de serviço,1,14050,2025-12-30T16:09:25.892517
Ecossistema empreendedor,1,14050,2025-12-30T16:09:25.892517
Ecossistema natural,1,14050,2025-12-30T16:09:25.892517
Ecossistema urbano,2,14050,2025-12-30T16:09:25.892517
Ecossistemas,1,14050,2025-12-30T16:09:25.892517
Ecossistemas aquáticos,5,14050,2025-12-30T16:09:25.892517
Ecossistemas artificiais,1,14050,2025-12-30T16:09:25.892517
Ecossistemas de aprendizagem,1,14050,2025-12-30T16:09:25.892517
Ecossistemas de informação,2,14050,2025-12-30T16:09:25.892517
Ecossistemas de inovação,2,14050,2025-12-30T16:09:25.892517
Ecotecnicas,1,14050,2025-12-30T16:09:25.892517
Ecótono,1,14050,2025-12-30T16:09:25.892517
Ecótonos,2,14050,2025-12-30T16:09:25.892517
Ecotoxicidade,2,14050,2025-12-30T16:09:25.892517
Ecotoxicidade aquática,1,14050,2025-12-30T16:09:25.892517
Ecotoxicologia,3,14050,2025-12-30T16:09:25.892517
Ecoturismo,23,14050,2025-12-30T16:09:25.892517
Ecoturismo - Bonito (MS),1,14050,2025-12-30T16:09:25.892517
Ecoturismo - Minas Gerais (MG),1,14050,2025-12-30T16:09:25.892517
Ecoturismo - política e governo - Pará (PA),1,14050,2025-12-30T16:09:25.892517
"Ecoturismo - Veadeiros, Chapada dos (GO)",3,14050,2025-12-30T16:09:25.892517
Ecovila,1,14050,2025-12-30T16:09:25.892517
Ecovilas,1,14050,2025-12-30T16:09:25.892517
Ecstasy,1,14050,2025-12-30T16:09:25.892517
Ectoparasitas,4,14050,2025-12-30T16:09:25.892517
Ectoparasitoses,1,14050,2025-12-30T16:09:25.892517
Ectotérmicos,1,14050,2025-12-30T16:09:25.892517
Edema,4,14050,2025-12-30T16:09:25.892517
Edema macular,1,14050,2025-12-30T16:09:25.892517
Edema macular diabético persistente,1,14050,2025-12-30T16:09:25.892517
Edema pulmonar agudo,1,14050,2025-12-30T16:09:25.892517
Edenismo,1,14050,2025-12-30T16:09:25.892517
Edentados,1,14050,2025-12-30T16:09:25.892517
Edge computing,2,14050,2025-12-30T16:09:25.892517
Ediacarano,4,14050,2025-12-30T16:09:25.892517
Ediacariano,1,14050,2025-12-30T16:09:25.892517
Edição de genes,2,14050,2025-12-30T16:09:25.892517
Edificações,18,14050,2025-12-30T16:09:25.892517
Edificações de ensino,2,14050,2025-12-30T16:09:25.892517
Edificações habitacionais,2,14050,2025-12-30T16:09:25.892517
Edificações públicas,3,14050,2025-12-30T16:09:25.892517
Edifício alto padrão CAARC,1,14050,2025-12-30T16:09:25.892517
Edifício escolar,1,14050,2025-12-30T16:09:25.892517
Edifícios,31,14050,2025-12-30T16:09:25.892517
Edífícios,1,14050,2025-12-30T16:09:25.892517
Edifícios  - consumo de aço,1,14100,2025-12-30T16:09:29.951082
Edifícios - acessibilidade,1,14100,2025-12-30T16:09:29.951082
Edifícios - aerodinâmica,3,14100,2025-12-30T16:09:29.951082
Edifícios - analise de rigidez,1,14100,2025-12-30T16:09:29.951082
Edifícios - arquitetura,1,14100,2025-12-30T16:09:29.951082
Edifícios - Brasília (DF),1,14100,2025-12-30T16:09:29.951082
Edifícios - conservação,1,14100,2025-12-30T16:09:29.951082
Edifícios - conservação e restauração,2,14100,2025-12-30T16:09:29.951082
Edifícios - danos externos,8,14100,2025-12-30T16:09:29.951082
Edifícios - deficientes - orientação e mobilidade,2,14100,2025-12-30T16:09:29.951082
Edifícios - desempenho,1,14100,2025-12-30T16:09:29.951082
Edifícios - especificações,5,14100,2025-12-30T16:09:29.951082
Edifícios - estruturas,1,14100,2025-12-30T16:09:29.951082
Edifícios - habitação,4,14100,2025-12-30T16:09:29.951082
Edifícios - incêndios,1,14100,2025-12-30T16:09:29.951082
Edifícios - manutenção,12,14100,2025-12-30T16:09:29.951082
Edifícios - preservação,8,14100,2025-12-30T16:09:29.951082
Edifícios - projeto e construção,10,14100,2025-12-30T16:09:29.951082
Edifícios - vibração,2,14100,2025-12-30T16:09:29.951082
Edifícios adjacentes,2,14100,2025-12-30T16:09:29.951082
Edifícios altos,13,14100,2025-12-30T16:09:29.951082
Edifícios comerciais,8,14100,2025-12-30T16:09:29.951082
Edifícios comerciais - Brasília (DF),2,14100,2025-12-30T16:09:29.951082
Edifícios de apartamentos,2,14100,2025-12-30T16:09:29.951082
Edifícios de valor cultural,1,14100,2025-12-30T16:09:29.951082
Edifícios escolares,3,14100,2025-12-30T16:09:29.951082
Edifícios escultóricos,1,14100,2025-12-30T16:09:29.951082
Edifícios espelhados,1,14100,2025-12-30T16:09:29.951082
Edifícios históricos,8,14100,2025-12-30T16:09:29.951082
Edifícios históricos - Brasília (DF),1,14100,2025-12-30T16:09:29.951082
Edifícios históricos - conservação e restauração,2,14100,2025-12-30T16:09:29.951082
Edifícios não residenciais,1,14100,2025-12-30T16:09:29.951082
Edifícios públicos,5,14100,2025-12-30T16:09:29.951082
Edifícios públicos - Brasília (DF),7,14100,2025-12-30T16:09:29.951082
Edifícios públicos - Tocantins (TO),1,14100,2025-12-30T16:09:29.951082
Edifícios residenciais,8,14100,2025-12-30T16:09:29.951082
"Edifícios, estruturas, etc.",3,14100,2025-12-30T16:09:29.951082
EDIII,1,14100,2025-12-30T16:09:29.951082
Édipo,2,14100,2025-12-30T16:09:29.951082
Editor web,1,14100,2025-12-30T16:09:29.951082
Editora Biblioteca do Exército,1,14100,2025-12-30T16:09:29.951082
Editora própria,1,14100,2025-12-30T16:09:29.951082
Editoração,6,14100,2025-12-30T16:09:29.951082
Editoração - Brasil,2,14100,2025-12-30T16:09:29.951082
Editoração - técnica literária - literatura em geral,1,14100,2025-12-30T16:09:29.951082
"Editores e edição - manuais, guias, etc.",1,14100,2025-12-30T16:09:29.951082
EDL-MF,2,14100,2025-12-30T16:09:29.951082
EDSS,1,14100,2025-12-30T16:09:29.951082
Educação,346,14100,2025-12-30T16:09:29.951082
Educação - aspectos econômicos,10,14100,2025-12-30T16:09:29.951082
Educação - aspectos políticos,1,14150,2025-12-30T16:09:33.987830
Educação - aspectos sociais,32,14150,2025-12-30T16:09:33.987830
Educação - assistência hospitalar,2,14150,2025-12-30T16:09:33.987830
Educação - avaliação,20,14150,2025-12-30T16:09:33.987830
Educação - Bahia (BA),1,14150,2025-12-30T16:09:33.987830
Educação - Brasil,30,14150,2025-12-30T16:09:33.987830
Educação - Brasil - África - cooperação internacional,1,14150,2025-12-30T16:09:33.987830
Educação - China,1,14150,2025-12-30T16:09:33.987830
Educação - computadores na escola,2,14150,2025-12-30T16:09:33.987830
Educação - cooperação internacional,1,14150,2025-12-30T16:09:33.987830
Educação - crescimento econômico,1,14150,2025-12-30T16:09:33.987830
Educação - Cuba,1,14150,2025-12-30T16:09:33.987830
Educação - Distrito Federal (Brasil),7,14150,2025-12-30T16:09:33.987830
Educação - Distrito Federal (Brasil) - história,3,14150,2025-12-30T16:09:33.987830
Educação - ensino médio,3,14150,2025-12-30T16:09:33.987830
Educação - escolas - aprendizagem,2,14150,2025-12-30T16:09:33.987830
Educação - Estados Unidos,1,14150,2025-12-30T16:09:33.987830
Educação - estudo e ensino,5,14150,2025-12-30T16:09:33.987830
Educação - estudo e ensino - Distrito Federal (Brasil),1,14150,2025-12-30T16:09:33.987830
Educação - exércitos - Brasil,1,14150,2025-12-30T16:09:33.987830
Educação - filosofia,8,14150,2025-12-30T16:09:33.987830
Educação - finalidades e objetivos - avaliação,1,14150,2025-12-30T16:09:33.987830
Educação - financiamento,28,14150,2025-12-30T16:09:33.987830
Educação - financiamento - Brasil,9,14150,2025-12-30T16:09:33.987830
Educação - Finlândia,1,14150,2025-12-30T16:09:33.987830
Educação - Goiás (Estado),1,14150,2025-12-30T16:09:33.987830
Educação - história,13,14150,2025-12-30T16:09:33.987830
Educação - historiografia,2,14150,2025-12-30T16:09:33.987830
Educação - investimentos,2,14150,2025-12-30T16:09:33.987830
Educação - legislação,5,14150,2025-12-30T16:09:33.987830
Educação - matemática,7,14150,2025-12-30T16:09:33.987830
Educação - Mato Grosso,2,14150,2025-12-30T16:09:33.987830
Educação - participação dos pais,3,14150,2025-12-30T16:09:33.987830
Educação - pobreza,1,14150,2025-12-30T16:09:33.987830
Educação - política pública,10,14150,2025-12-30T16:09:33.987830
Educação - práticas sociais,2,14150,2025-12-30T16:09:33.987830
Educação - prisões,5,14150,2025-12-30T16:09:33.987830
Educação - privatização,2,14150,2025-12-30T16:09:33.987830
Educação - processamento de dados,1,14150,2025-12-30T16:09:33.987830
Educação - psicanálise,1,14150,2025-12-30T16:09:33.987830
Educação - relações raciais,4,14150,2025-12-30T16:09:33.987830
Educação - saúde,2,14150,2025-12-30T16:09:33.987830
Educação - subjetividade,2,14150,2025-12-30T16:09:33.987830
Educação - tecnologia da informação,8,14150,2025-12-30T16:09:33.987830
Educação - trabalho,3,14150,2025-12-30T16:09:33.987830
Educação - Valparaíso (GO),1,14150,2025-12-30T16:09:33.987830
Educação a distância,17,14150,2025-12-30T16:09:33.987830
Educação aberta,4,14150,2025-12-30T16:09:33.987830
Educação alimentar e nutricional,26,14150,2025-12-30T16:09:33.987830
Educação alternativa,1,14150,2025-12-30T16:09:33.987830
Educação Ambiental,1,14200,2025-12-30T16:09:37.973955
Educação ambiental,181,14200,2025-12-30T16:09:37.973955
Educação ambiental - Brasil,14,14200,2025-12-30T16:09:37.973955
Educação ambiental - escolas públicas - Distrito Federal (Brasil),8,14200,2025-12-30T16:09:37.973955
Educação ambiental - política pública,2,14200,2025-12-30T16:09:37.973955
Educação Ambiental Crítica (EAC),5,14200,2025-12-30T16:09:37.973955
Educação ambiental inclusiva,2,14200,2025-12-30T16:09:37.973955
Educação antirracista,17,14200,2025-12-30T16:09:37.973955
Educação artística,7,14200,2025-12-30T16:09:37.973955
Educação artística (Ensino médio) - Distrito Federal (Brasil),3,14200,2025-12-30T16:09:37.973955
Educação artística - Brasília (DF),1,14200,2025-12-30T16:09:37.973955
Educação artística - estética,3,14200,2025-12-30T16:09:37.973955
Educação ativa,1,14200,2025-12-30T16:09:37.973955
Educação audiovisual,1,14200,2025-12-30T16:09:37.973955
Educação baseada em competência,1,14200,2025-12-30T16:09:37.973955
Educação básica,108,14200,2025-12-30T16:09:37.973955
Educação básica - análise,1,14200,2025-12-30T16:09:37.973955
Educação básica - Brasil,7,14200,2025-12-30T16:09:37.973955
Educação básica - Brasil - Argentina,1,14200,2025-12-30T16:09:37.973955
Educação básica - Distrito Federal (Brasil),3,14200,2025-12-30T16:09:37.973955
Educação básica - Distrito Federal (Brasil) - Catalunha - Espanha,1,14200,2025-12-30T16:09:37.973955
Educação básica - financiamento,7,14200,2025-12-30T16:09:37.973955
Educação básica - gestão,6,14200,2025-12-30T16:09:37.973955
Educação básica - história,1,14200,2025-12-30T16:09:37.973955
Educação básica - qualidade,1,14200,2025-12-30T16:09:37.973955
Educação básica - salários - Brasil,3,14200,2025-12-30T16:09:37.973955
Educação bilíngue,10,14200,2025-12-30T16:09:37.973955
"Educação Ciência, Tecnologia e Sociedade (CTS)",1,14200,2025-12-30T16:09:37.973955
Educação científica,7,14200,2025-12-30T16:09:37.973955
Educação científica e tecnológica,3,14200,2025-12-30T16:09:37.973955
Educação científica escolar,2,14200,2025-12-30T16:09:37.973955
Educação com orientação CTS,1,14200,2025-12-30T16:09:37.973955
Educação como prática de liberdade,1,14200,2025-12-30T16:09:37.973955
Educação comparada,12,14200,2025-12-30T16:09:37.973955
Educação comunitária,4,14200,2025-12-30T16:09:37.973955
Educação contábil,1,14200,2025-12-30T16:09:37.973955
Educação continuada,19,14200,2025-12-30T16:09:37.973955
Educação continuada - professores,2,14200,2025-12-30T16:09:37.973955
Educação corânica,1,14200,2025-12-30T16:09:37.973955
Educação corporativa,16,14200,2025-12-30T16:09:37.973955
Educação crítica,2,14200,2025-12-30T16:09:37.973955
Educação CTS,2,14200,2025-12-30T16:09:37.973955
Educação da saúde,1,14200,2025-12-30T16:09:37.973955
Educação da sensibilidade,1,14200,2025-12-30T16:09:37.973955
Educação das crianças,1,14200,2025-12-30T16:09:37.973955
Educação de adultos,1,14200,2025-12-30T16:09:37.973955
Educação de adultos - aspectos sociais,1,14200,2025-12-30T16:09:37.973955
Educação de adultos - Brasil,3,14200,2025-12-30T16:09:37.973955
Educação de adultos - formação profissional,1,14200,2025-12-30T16:09:37.973955
Educação de adultos - instrumentos musicais,1,14200,2025-12-30T16:09:37.973955
Educação de crianças,95,14250,2025-12-30T16:09:42.078594
Educação de crianças - aspectos psicológicos,3,14250,2025-12-30T16:09:42.078594
Educação de crianças - qualidade,1,14250,2025-12-30T16:09:42.078594
Educação de enfermagem,1,14250,2025-12-30T16:09:42.078594
Educação de jovens e adultos,141,14250,2025-12-30T16:09:42.078594
Educação de Jovens e Adultos (EJA),1,14250,2025-12-30T16:09:42.078594
Educação de jovens e adultos - avaliação,2,14250,2025-12-30T16:09:42.078594
Educação de jovens e adultos - Distrito Federal (Brasil),17,14250,2025-12-30T16:09:42.078594
Educação de jovens e adultos - Goiás (Estado),2,14250,2025-12-30T16:09:42.078594
Educação de jovens e adultos - letramento,5,14250,2025-12-30T16:09:42.078594
Educação de jovens e adultos - prisões,4,14250,2025-12-30T16:09:42.078594
Educação difusa,1,14250,2025-12-30T16:09:42.078594
Educação digital,1,14250,2025-12-30T16:09:42.078594
Educação do adolescente,5,14250,2025-12-30T16:09:42.078594
Educação do campo,99,14250,2025-12-30T16:09:42.078594
Educação do campo - Acre (AC),1,14250,2025-12-30T16:09:42.078594
Educação do campo - financiamento,1,14250,2025-12-30T16:09:42.078594
Educação do campo - Paracatu (MG),1,14250,2025-12-30T16:09:42.078594
Educação do corpo,2,14250,2025-12-30T16:09:42.078594
Educação do pé no chão,1,14250,2025-12-30T16:09:42.078594
Educação domiciliar,3,14250,2025-12-30T16:09:42.078594
Educação e aprendizagem,4,14250,2025-12-30T16:09:42.078594
Educação e cultura,10,14250,2025-12-30T16:09:42.078594
Educação e desenvolvimento,1,14250,2025-12-30T16:09:42.078594
Educação e esporte,2,14250,2025-12-30T16:09:42.078594
Educação e Estado,95,14250,2025-12-30T16:09:42.078594
Educação e Estado - Anápolis (GO),1,14250,2025-12-30T16:09:42.078594
Educação e Estado - aspectos sociológicos - Distrito Federal (Brasil),1,14250,2025-12-30T16:09:42.078594
Educação e Estado - Brasil,9,14250,2025-12-30T16:09:42.078594
Educação e Estado - Distrito Federal,1,14250,2025-12-30T16:09:42.078594
Educação e Estado - ensino superior,2,14250,2025-12-30T16:09:42.078594
Educação e Estado - Goiás (Estado),1,14250,2025-12-30T16:09:42.078594
Educação e Estado - integração social,1,14250,2025-12-30T16:09:42.078594
Educação e Estado - Maranhão (MA),1,14250,2025-12-30T16:09:42.078594
Educação e Estado - Minas Gerais (MG),1,14250,2025-12-30T16:09:42.078594
Educação e Estado - Minas Gerais - São Paulo (Estado),1,14250,2025-12-30T16:09:42.078594
Educação e gênero,3,14250,2025-12-30T16:09:42.078594
Educação e globalização,1,14250,2025-12-30T16:09:42.078594
Educação e nutricionista,1,14250,2025-12-30T16:09:42.078594
Educação e saúde,2,14250,2025-12-30T16:09:42.078594
Educação e sustentabilidade,1,14250,2025-12-30T16:09:42.078594
Educação e treinamento técnico e vocacional,1,14250,2025-12-30T16:09:42.078594
Educação em arte,3,14250,2025-12-30T16:09:42.078594
Educação em artes visuais,2,14250,2025-12-30T16:09:42.078594
Educação em ciência,5,14250,2025-12-30T16:09:42.078594
Educação em Direitos humanos,16,14250,2025-12-30T16:09:42.078594
Educação em enfermagem,22,14250,2025-12-30T16:09:42.078594
Educação em Engenharia,1,14250,2025-12-30T16:09:42.078594
Educação em engenharia,3,14250,2025-12-30T16:09:42.078594
Educação em língua estrangeira,1,14250,2025-12-30T16:09:42.078594
Educação em prisões,1,14300,2025-12-30T16:09:46.270104
Educação em saúde,61,14300,2025-12-30T16:09:46.270104
Educação em saúde bucal,1,14300,2025-12-30T16:09:46.270104
Educação em sexualidade,2,14300,2025-12-30T16:09:46.270104
Educação em tecnologia,1,14300,2025-12-30T16:09:46.270104
Educação emancipadora,12,14300,2025-12-30T16:09:46.270104
Educação emancipatória,1,14300,2025-12-30T16:09:46.270104
Educação empreendedora,4,14300,2025-12-30T16:09:46.270104
Educação empresarial,1,14300,2025-12-30T16:09:46.270104
Educação escolar,8,14300,2025-12-30T16:09:46.270104
Educação escolar indígena,6,14300,2025-12-30T16:09:46.270104
Educação Escolar Quilombola,1,14300,2025-12-30T16:09:46.270104
Educação especial,43,14300,2025-12-30T16:09:46.270104
Educação especial - Brasília (DF),1,14300,2025-12-30T16:09:46.270104
Educação especial - deficientes visuais,2,14300,2025-12-30T16:09:46.270104
Educação especial - Distrito Federal (Brasil),1,14300,2025-12-30T16:09:46.270104
Educação especial - manual,1,14300,2025-12-30T16:09:46.270104
Educação especial - matemática,1,14300,2025-12-30T16:09:46.270104
Educação específica,1,14300,2025-12-30T16:09:46.270104
Educação estética,2,14300,2025-12-30T16:09:46.270104
Educação feminina,1,14300,2025-12-30T16:09:46.270104
Educação financeira,11,14300,2025-12-30T16:09:46.270104
Educação fiscal,3,14300,2025-12-30T16:09:46.270104
Educação Física,8,14300,2025-12-30T16:09:46.270104
Educação física,75,14300,2025-12-30T16:09:46.270104
Educação física (Ensino fundamental),6,14300,2025-12-30T16:09:46.270104
Educação física (Ensino médio),1,14300,2025-12-30T16:09:46.270104
Educação física - ambiente escolar - avaliação,4,14300,2025-12-30T16:09:46.270104
Educação física - Ceilândia (DF),1,14300,2025-12-30T16:09:46.270104
Educação física - crianças,4,14300,2025-12-30T16:09:46.270104
Educação física - currículos,5,14300,2025-12-30T16:09:46.270104
Educação física - deficientes,1,14300,2025-12-30T16:09:46.270104
Educação física - diretrizes curriculares,1,14300,2025-12-30T16:09:46.270104
Educação física - educação,2,14300,2025-12-30T16:09:46.270104
Educação física - estudo e ensino,4,14300,2025-12-30T16:09:46.270104
Educação física - formação profissional,9,14300,2025-12-30T16:09:46.270104
Educação Física - história,1,14300,2025-12-30T16:09:46.270104
Educação física - imagem corporal,4,14300,2025-12-30T16:09:46.270104
Educação física - índios,1,14300,2025-12-30T16:09:46.270104
Educação física - lazer - política pública,2,14300,2025-12-30T16:09:46.270104
Educação física - legislação - Brasil,1,14300,2025-12-30T16:09:46.270104
Educação física - mercado de trabalho,3,14300,2025-12-30T16:09:46.270104
Educação física - pesquisa,1,14300,2025-12-30T16:09:46.270104
Educação física - pós-graduação,3,14300,2025-12-30T16:09:46.270104
Educação física - prática curricular,2,14300,2025-12-30T16:09:46.270104
Educação física - produção de conhecimento,2,14300,2025-12-30T16:09:46.270104
Educação física - professores,1,14300,2025-12-30T16:09:46.270104
Educação física - terceirização,1,14300,2025-12-30T16:09:46.270104
Educação física escolar,34,14300,2025-12-30T16:09:46.270104
Educação física escolar - publicações científicas,1,14300,2025-12-30T16:09:46.270104
Educação formal,1,14350,2025-12-30T16:09:50.365836
Educação híbrida,2,14350,2025-12-30T16:09:50.365836
Educação humanista,2,14350,2025-12-30T16:09:50.365836
Educação inclusiva,99,14350,2025-12-30T16:09:50.365836
Educação inclusiva - Distrito Federal (Brasil),9,14350,2025-12-30T16:09:50.365836
Educação indígena,18,14350,2025-12-30T16:09:50.365836
Educação indígena - Brasil - Austrália - Canadá,1,14350,2025-12-30T16:09:50.365836
Educação infantil,63,14350,2025-12-30T16:09:50.365836
Educação infantil - avaliação,1,14350,2025-12-30T16:09:50.365836
Educação infantil - Brasília,3,14350,2025-12-30T16:09:50.365836
Educação infantil - Colômbia,1,14350,2025-12-30T16:09:50.365836
Educação infantil - Distrito Federal (Brasil),5,14350,2025-12-30T16:09:50.365836
Educação inovadora,1,14350,2025-12-30T16:09:50.365836
Educação integral,24,14350,2025-12-30T16:09:50.365836
Educação integral - Brasília (DF),1,14350,2025-12-30T16:09:50.365836
Educação integral - Distrito Federal (Brasil),3,14350,2025-12-30T16:09:50.365836
Educação integral em sexualidade,1,14350,2025-12-30T16:09:50.365836
Educação intercultural,4,14350,2025-12-30T16:09:50.365836
Educação interdisciplinar,1,14350,2025-12-30T16:09:50.365836
Educação intergeracional,1,14350,2025-12-30T16:09:50.365836
Educação internacional e comparada,2,14350,2025-12-30T16:09:50.365836
Educação interprofissional,6,14350,2025-12-30T16:09:50.365836
Educação Jurídica,1,14350,2025-12-30T16:09:50.365836
Educação jurídica,9,14350,2025-12-30T16:09:50.365836
Educação libertadora,4,14350,2025-12-30T16:09:50.365836
Educação libertária,1,14350,2025-12-30T16:09:50.365836
Educação linguística,3,14350,2025-12-30T16:09:50.365836
Educação literária,2,14350,2025-12-30T16:09:50.365836
Educação matemática,13,14350,2025-12-30T16:09:50.365836
Educação médica,28,14350,2025-12-30T16:09:50.365836
Educação médica - Brasil,3,14350,2025-12-30T16:09:50.365836
Educação militar,7,14350,2025-12-30T16:09:50.365836
Educação moral,1,14350,2025-12-30T16:09:50.365836
Educação multicultural,3,14350,2025-12-30T16:09:50.365836
Educação municipal - gestão,1,14350,2025-12-30T16:09:50.365836
Educação musical,24,14350,2025-12-30T16:09:50.365836
Educação não-formal,16,14350,2025-12-30T16:09:50.365836
Educação nutricional,3,14350,2025-12-30T16:09:50.365836
Educação para a carreira,2,14350,2025-12-30T16:09:50.365836
Educação para a paz,1,14350,2025-12-30T16:09:50.365836
Educação para o trabalho,1,14350,2025-12-30T16:09:50.365836
