Termo Principal;Possíveis Duplicatas;Total Variações;Frequência Somada
Agropecuária;Agropecuária (100%) | Agropecuária - Amazonas (AM) (100%) | Agropecuária - aspectos econômicos (100%) | Agropecuária - Brasil (100%) | Agropecuária - Brasil, Norte (100%) | Agropecuária - estatística - Brasil (100%) | Agropecuária - inovações tecnológicas (100%) | Agropecuária - regiões áridas (100%) | Contabilidade - agropecuária (100%) | Exposição Agropecuária de Brasília (100%) | Frente Parlamentar da Agropecuária (FPA) (100%) | Pesquisa agropecuária (100%) | Programa de Garantia da Atividade Agropecuária (Proagro) (100%) | Pecuária (80%);14;69
Sujeito (Psicologia);Sujeito (100%) | Sujeito (Psicologia) (100%) | Sexo (Psicologia) (86%) | Ego (Psicologia) (86%) | Afeto (Psicologia) (84%) | Riso (Psicologia) (83%) | Self  (Psicologia) (83%) | Self (Psicologia) (83%) | Arquétipo (Psicologia) (81%) | Audição (Psicologia) (80%) | Hábitos (Psicologia) (80%) | Humor (Psicologia) (80%) | Metas (Psicologia) (80%) | Perda (Psicologia) (80%);14;84
Didática;Didática (100%) | Didática - ensino médio (100%) | Didática da tradução (100%) | Engenharia didática (100%) | Estratégia didática (100%) | Gravações de vídeo - didática (100%) | Intervenção didática (100%) | Pronúncia - didática (100%) | Sequência didática (100%) | Sequência didática investigativa (100%) | Tradução - didática (100%) | Unidade didática bilíngue (100%) | Unidade Didática Inclusiva (100%) | Dialética (82%);14;101
Aprendizagem formal - comportamentos;Aprendizagem (100%) | Aprendizagem formal (100%) | Aprendizagem formal - comportamentos (100%) | Aprendizagem - rato (85%) | Canto - aprendizagem (82%) | Dança - aprendizagem (82%) | Jogos - aprendizagem (82%) | Piano - aprendizagem (82%) | Abelha - aprendizagem (80%) | Aprendizagem ativa (80%) | Aprendizagem móvel (80%) | Comportamentos éticos (80%) | Ensino - aprendizagem (80%) | Idosos - aprendizagem (80%);14;282
Educação física - pesquisa;Educação (100%) | Educação Física (100%) | Educação física - educação (100%) | Educação física - pesquisa (100%) | Física (100%) | Pesquisa (100%) | Pesquisa em educação (92%) | Educação pela pesquisa (87%) | Educação física - índios (83%) | Periódicos - educação física (81%) | Educação Física - história (81%) | Educação - Cuba (80%) | Educação CTS (80%) | Educação física - professores (80%);14;568
Quilombolas - educação - Goiás (Estado);Educação (100%) | Educação - Goiás (Estado) (100%) | Goiás (Estado) (100%) | Goiás (Estado) - educação (100%) | Quilombolas (100%) | Quilombolas - educação - Goiás (Estado) (100%) | Educação e Estado - Goiás (Estado) (85%) | Quilombos - Goiás (Estado) (83%) | Educação de jovens e adultos - Goiás (Estado) (81%) | Ciganos - Goiás (Estado) (80%) | Educação - Cuba (80%) | Educação CTS (80%) | Jazidas - Goiás (Estado) (80%) | Turismo - Goiás (Estado) (80%);14;459
Gerontologia;Gerontologia (100%) | Geocronologia (88%) | Deontologia (87%) | Ontologia (86%) | Neonatologia (83%) | Psicogerontologia (83%) | Etonologia (82%) | Etologia (80%) | Europatologia (80%) | Geologia (80%) | Metaontologia (80%) | Otologia (80%) | Paleontologia (80%) | Perinatologia (80%);14;221
Impacto ambiental - metodologia;Impacto (100%) | Impacto ambiental (100%) | Impacto ambiental - metodologia (100%) | Metodologia (100%) | Metodologia BIM (85%) | Metodologia GDE (85%) | Impacto ambiental - Brasil (84%) | Carbono - impacto ambiental (83%) | Esgotos - impacto ambiental (83%) | Lei ambiental (82%) | Metodologia ágil (81%) | Metodologia iRAP (81%) | Impacto ambiental - Amazônia (81%) | Grau de impacto ambiental (81%);14;128
Gerenciamento de impressão;Gerenciamento de impressão (100%) | Gerenciamento de QoS (89%) | Gerenciamento de rede (86%) | Impressão 3D (86%) | Gerenciamento de dados (84%) | Plano de gerenciamento (84%) | Gerenciamento de resultados (83%) | Gerenciamento de projetos (82%) | Gerenciamento de resíduos (82%) | Processos - gerenciamento (82%) | Gerenciamento de riscos (82%) | Gerenciamento de processos de negócio (80%) | Supressão de crescimento (80%) | Unidade de gerenciamento (80%);14;101
Cor;Cor (100%) | Cor (Odontologia) (100%) | Cor dos alimentos (100%) | Cor dos animais (100%) | Cor na arte (100%) | Dentes - cor (100%) | Madeira - cor (100%) | Mamífero - cor - efeito fisiológico (100%) | Modelo de cor RGB (100%) | Olhos - cor (100%) | Percepção da cor (100%) | Plumas - cor (100%) | Sementes - variação de cor (100%) | Sentidos e sensações - cor (100%);14;23
Serviços de informação - estudo de usuários;Estudo (100%) | Estudo de usuários (100%) | Informação (100%) | Serviços (100%) | Serviços de informação (100%) | Serviços de informação - estudo de usuários (100%) | Usuários (100%) | Serviços de informação online (86%) | Orçamento - serviços de informação (83%) | Ações de informação (81%) | Áreas de informação (81%) | Fluxo de informação (81%) | Fonte de informação (81%) | Redes de informação (81%);14;227
Análise organizacional;Análise (100%) | Análise organizacional (100%) | Campo organizacional (82%) | Clima organizacional (82%) | Assédio organizacional (82%) | Capital organizacional (82%) | Cinismo organizacional (82%) | Mudança organizacional (82%) | Ambiente organizacional (80%) | Análise notacional (80%) | Controle organizacional (80%) | Gestão organizacional (80%) | Imagem organizacional (80%) | Modelo organizacional (80%);14;33
Incapacidades do desenvolvimento;Desenvolvimento (100%) | Incapacidades do desenvolvimento (100%) | Desenvolvimento do self (88%) | Desenvolvimento local (83%) | Desenvolvimento moral (83%) | Desenvolvimento motor (83%) | Desenvolvimento rural (83%) | Desenvolvimento adulto (81%) | Desenvolvimento foliar (81%) | Desenvolvimento global (81%) | Desenvolvimento humano (81%) | Desenvolvimento social (81%) | Desenvolvimento urbano (81%) | Biologia do desenvolvimento (80%);14;250
Gene;Análise de gene (100%) | Gene (100%) | Gene - conceito (100%) | Gene - conceito molecular clássico (100%) | Gene exchange (100%) | Gene gfg (100%) | Gene Matk (100%) | Gene mestre determinante do sexo (100%) | Gene nsp4 (100%) | Gene p74 (100%) | Promotor de gene (100%) | Genes (89%) | Gênero (80%) | Gênese (80%);14;250
Crítica, interpretação, etc.;Crítica, interpretação, etc. (100%) | Larbaud, Valery, 1881-1957 - crítica, interpretação, etc. (100%) | Benjamin, Walter, 1892-1940 - crítica, interpretação, etc (90%) | Literatura alemã - crítica, interpretação, etc (90%) | Literatura angolana - crítica, interpretação, etc (90%) | Literatura brasileira - crítica, interpretação, etc (90%) | Literatura colombiana - crítica, interpretação, etc (90%) | Literatura estadunidense - crítica, interpretação, etc (90%) | Literatura grega - crítica, interpretação, etc (90%) | Literatura irlandesa - crítica, interpretação, etc (90%) | Literatura italiana - crítica, interpretação, etc (90%) | Literatura portuguesa - crítica, interpretação, etc (90%) | Poesia brasileira - crítica, interpretação, etc (90%) | Veríssimo, Érico, 1905-1975 - crítica, interpretação, etc (90%);14;113
Cristais;Cristais (100%) | Cristais - síntese (100%) | Cristais esféricos (100%) | Cristais líquidos (100%) | Cristais líquidos liotrópicos (100%) | Cristais moleculares (100%) | Propriedades coexistentes de cristais e de líquido (100%) | Raios X - análise de cristais (100%) | Zircão - cristais (100%) | Cristãos (88%) | Cronistas (82%) | Cristianismo (80%) | Nanocristais (80%) | Rituais (80%);14;31
Pais e professores;Pais (100%) | Pais e professores (100%) | Professores (100%) | Professores e alunos (84%) | Greves e lockouts - professores (84%) | Instituto Federal de Educação, Ciência e Tecnologia - professores (84%) | Professores e alunos - diferenças individuais (84%) | Professores e alunos - educação (84%) | Universidades e faculdades particulares - professores (84%) | Professores temporários (83%) | Professores de física (82%) | Professores de inglês (82%) | Professores - atitudes (80%) | Professores de línguas (80%);14;134
Licenciatura;Cursos de licenciatura (100%) | Licenciatura (100%) | Licenciatura em Artes (100%) | Licenciatura em Artes Visuais (100%) | Licenciatura em Ciências Naturais (100%) | Licenciatura em Educação do Campo (100%) | Licenciatura em Educação profissional (100%) | Licenciatura em Línguas (100%) | Licenciatura em Música (100%) | Licenciatura em Música - ensino a distância (100%) | Licenciatura intercultural (100%) | Licenciatura Interdisciplinar (100%) | Música - licenciatura - Universidade de Brasília (UnB) (100%) | Pedagogia - licenciatura (100%);14;51
Simbiose (Psicologia);Simbiose (100%) | Simbiose (Psicologia) (100%) | Simbolismo (Psicologia) (86%) | Ego (Psicologia) (86%) | Hábitos (Psicologia) (83%) | Riso (Psicologia) (83%) | Self  (Psicologia) (83%) | Self (Psicologia) (83%) | Sexo (Psicologia) (83%) | Afeto (Psicologia) (80%) | Humor (Psicologia) (80%) | Imagem (Psicologia) (80%) | Metas (Psicologia) (80%) | Perda (Psicologia) (80%);14;65
Ciência da informação - hermenêutica;Ciência (100%) | Ciência da Informação (100%) | Ciência da informação - hermenêutica (100%) | Hermenêutica (100%) | Informação (100%) | Ciência da informação - Brasil (87%) | Uso da informação (87%) | Ciência da informação - valores (85%) | Ciência da informação - linguística (85%) | Ciência da Informação - história (84%) | Ciência da informação - terminologia (83%) | Ciência da informação - fenomenologia (82%) | Busca da informação (81%) | Ciclo da Informação (81%);14;304
Desenvolvimento emocional infantil;Desenvolvimento (100%) | Desenvolvimento emocional (100%) | Desenvolvimento emocional infantil (100%) | Desenvolvimento infantil (100%) | Desenvolvimento local (83%) | Desenvolvimento moral (83%) | Desenvolvimento motor (83%) | Desenvolvimento rural (83%) | Desenvolvimento adulto (81%) | Desenvolvimento foliar (81%) | Desenvolvimento global (81%) | Desenvolvimento humano (81%) | Desenvolvimento social (81%) | Desenvolvimento urbano (81%);14;283
Integração de políticas;Integração (100%) | Integração de políticas (100%) | Integração política (90%) | Políticas de interpretação (90%) | Políticas de inovação (86%) | Política de informação (84%) | Políticas de reparação (84%) | Política de inovação (84%) | Políticas de inclusão (82%) | Integração de dados (81%) | Ciclo de políticas (80%) | Integração de sistemas (80%) | Interpretação política (80%) | Políticas de saúde (80%);14;59
Fluxos de informação;Fluxos de informação (100%) | Informação (100%) | Fluxo de informação (97%) | Fontes de informação (85%) | Informação de custos (85%) | Ações de informação (82%) | Fonte de informação (82%) | Áreas de informação (81%) | Redes de informação (81%) | Uso da informação (81%) | Produtos de informação (81%) | Recursos de informação (81%) | Modelo de informação (80%) | Modelos de fluxo da informação (80%);14;124
Responsabilidade ambiental - bancos;Bancos (100%) | Responsabilidade (100%) | Responsabilidade ambiental (100%) | Responsabilidade ambiental - bancos (100%) | Responsabilidade civil ambiental (90%) | Avós - responsabilidade (88%) | Responsabilidade civil (84%) | Responsabilidade ética (84%) | Responsabilidade legal (84%) | Responsabilidade penal (84%) | Responsabilidade por danos ambientais (83%) | Responsabilidade fiscal (82%) | Responsabilidade Social (82%) | Lei ambiental (82%);14;116
Casamento - conflito (Psicologia);Casamento (100%) | Casamento - conflito (Psicologia) (100%) | Conflito (100%) | Conflito (Psicologia) (100%) | Ego (Psicologia) (86%) | Família - conflito (Psicologia) (85%) | Riso (Psicologia) (83%) | Self  (Psicologia) (83%) | Self (Psicologia) (83%) | Sexo (Psicologia) (83%) | Afeto (Psicologia) (80%) | Humor (Psicologia) (80%) | Metas (Psicologia) (80%) | Perda (Psicologia) (80%);14;84
Política Nacional de Educação Especial;"Educação (100%) | Educação especial (100%) | Educação política (100%) | Política (100%) | Política Nacional (100%) | Política Nacional de Educação Especial (100%) | Política e educação (94%) | Plano Nacional de Educação (87%) | Política nacional de educação ambiental (87%) | Política Nacional de Museus (85%) | Política Nacional de Ciência (83%) | Política Nacional de Museus; (83%) | Políca Nacional de Educação Digital (PNED) (82%) | Educação CTS (80%)";14;503
Fisiologia veterinária;Bovino - fisiologia veterinária - embriologia (100%) | Fisiologia (100%) | Fisiologia veterinária (100%) | Veterinária (100%) | Histologia veterinária (91%) | Sorologia veterinária (88%) | Imunologia veterinária (86%) | Radiologia veterinária (86%) | Parasitologia veterinária (85%) | Oncologia veterinária (84%) | Patologia veterinária (84%) | Fisiologia térmica (80%) | Hematologia veterinária (80%) | Odontologia veterinária (80%);14;45
Liberdade de informação;Informação (100%) | Liberdade (100%) | Liberdade de informação (100%) | Sociedade de informação (87%) | Unidades de informação (84%) | Universidade e informação (83%) | Qualidade da informação (83%) | Sociedade da informação (83%) | Privação de liberdade (82%) | Ações de informação (81%) | Áreas de informação (81%) | Fluxo de informação (81%) | Fonte de informação (81%) | Redes de informação (81%);14;198
História - jornalismo;História (100%) | História - jornalismo (100%) | Jornalismo (100%) | História do jornalismo (95%) | Irã - história (83%) | Teoria do jornalismo (83%) | Urbanismo - história (83%) | Jornalismo - política (81%) | Arte - história (80%) | Cuba - história (80%) | Jornalismo -  crise (80%) | Jornalismo - música (80%) | Moda - história (80%) | Rios - história (80%);14;187
Lazer;Atividade de lazer (100%) | Atividades de lazer (100%) | Brasília (DF) - lazer (100%) | Educação física - lazer - política pública (100%) | Esporte e lazer (100%) | Lago Paranoá (DF) - lazer (100%) | Lazer (100%) | Lazer - Brasil (100%) | Lazer - Brasília (DF) (100%) | Lazer e educação (100%) | Políticas públicas - lazer (100%) | Sociologia do lazer (100%) | Viagem para lazer na cidade (100%) | Laser (80%);14;44
Cabo Verde;Cabo Verde (100%) | Cabo Verde (País) (100%) | Cabo Verde - cultura política (100%) | Cabo Verde - política e governo (100%) | Democracia - Cabo Verde (100%) | Economia social - Cabo Verde (100%) | Identidade de gênero - Cabo Verde (100%) | Língua crioulo - Cabo Verde (100%) | Língua portuguesa - Cabo Verde - fonologia (100%) | Literatura africana - Cabo Verde (100%) | Mindelo - Cabo Verde (100%) | Políticas públicas - Cabo Verde (100%) | Solidariedade - Cabo Verde (100%) | Coco verde (80%);14;33
Grupos sociais - Brasil;Brasil (100%) | Grupos (100%) | Grupos sociais (100%) | Grupos sociais - Brasil (100%) | Brasil - condições sociais (82%) | Brasil - vida e costumes sociais (82%) | Indicadores sociais - Brasil (82%) | Indígenas da América do Sul - Brasil - vida e costumes sociais (82%) | Índios da América do Sul - Brasil - vida e costumes sociais (82%) | Moedas - aspectos sociais - Brasil (82%) | Movimentos sociais - Brasil (82%) | Negros - condições sociais - Brasil (82%) | Representações de grupos - mulheres - condições sociais (82%) | TV Brasil (80%);14;252
Vieira, Antonio, 1608-1697- crítica e interpretação;Crítica (100%) | Interpretação (100%) | Vieira, Antonio, 1608-1697- crítica e interpretação (100%) | Canção - crítica e interpretação (84%) | Livros - crítica e interpretação (84%) | Platão - crítica e interpretação (84%) | Negri, Antonio, 1933- crítica e interpretação (83%) | Teixeira, Anísio, 1900-1971 - crítica e interpretação (83%) | Beowulf - crítica e interpretação (82%) | Interpretação vocal (81%) | Antônio, João, 1937-1996 - crítica e interpretação (81%) | Sócrates - crítica e interpretação (81%) | Zalmoxis - crítica e interpretação (81%) | Cândido, Antônio, 1918 - crítica e interpretação (80%);14;63
Periferias - América Latina;America (100%) | América Latina (100%) | Periferias (100%) | Periferias - América Latina (100%) | América Latina - saúde (84%) | Bancos - América Latina (82%) | Índios - América Latina (82%) | América Latina - eleições (81%) | América Latina - história (81%) | Bioética - América Latina (81%) | Política - América Latina (81%) | América Latina - cultura (80%) | Nativos - América Latina (80%) | Presidentes - América Latina (80%);14;115
Leirner, Jacqueline, 1961- crítica e interpretação;Crítica (100%) | Interpretação (100%) | Leirner, Jacqueline, 1961- crítica e interpretação (100%) | Rancière, Jacques, 1940- crítica e interpretação (84%) | Canção - crítica e interpretação (84%) | Livros - crítica e interpretação (84%) | Platão - crítica e interpretação (84%) | Beowulf - crítica e interpretação (82%) | Tessler, Elida,  1961- crítica e interpretação (82%) | Interpretação vocal (81%) | Sabina, Joaquín, 1949- crítica e interpretação (81%) | Sócrates - crítica e interpretação (81%) | Zalmoxis - crítica e interpretação (81%) | Serrano, Marcela, 1951- crítica e interpretação (80%);14;55
Justiça organizacional;Justiça (100%) | Justiça organizacional (100%) | Gestão organizacional (84%) | Campo organizacional (82%) | Clima organizacional (82%) | Cultura Organizacional (82%) | Mudança organizacional (82%) | Estratégia organizacional (81%) | Psicologia organizacional (81%) | Imagem organizacional (80%) | Inovação organizacional (80%) | Modelo organizacional (80%) | Pesquisa organizacional (80%) | Resposta organizacional (80%);14;169
Redes de computação - avaliação;Avaliação (100%) | Computação (100%) | Redes de computação (100%) | Redes de computação - avaliação (100%) | Redes de computação - serviços (85%) | Redes de computação - gerência (82%) | Caju - avaliação (81%) | Dano - avaliação (81%) | Redes de computação - medidas de segurança (81%) | Redes de computação - planejamento (81%) | Redes de computação - protocolos (81%) | Redes de computação - tomada de decisões (81%) | Avaliação de curso (80%) | Avaliação de risco (80%);14;172
Iconologia;Iconologia (100%) | Fonologia (84%) | Micologia (84%) | Oncologia (84%) | Ontologia (84%) | Oologia (82%) | Cosmologia (80%) | Etonologia (80%) | Imunologia (80%) | Limnologia (80%) | Psico-oncologia (80%) | Psicologia (80%) | Tecnologia (80%) | Tricologia (80%);14;355
Análise de crescimento;Análise (100%) | Análise de crescimento (100%) | Crescimento (100%) | Análise de crédito (85%) | Crescimento de grão (85%) | Taxa de crescimento (85%) | Análise de sentimento (84%) | Curva de crescimento (82%) | Fator de crescimento (82%) | Índices de crescimento (82%) | Análise de alimentos (81%) | Análise de movimento (81%) | Análise de gene (80%) | Dinâmica de crescimento (80%);14;37
Cerrados - agricultura;Agricultura (100%) | Cerrados (100%) | Cerrados - agricultura (100%) | Cultura - Cerrados (90%) | Agricultura - tradição (82%) | Agricultura - clima (81%) | Clima - agricultura (81%) | Agricultura - Brasil (81%) | Agricultura - pragas (81%) | Agricultura e Estado (81%) | Aves - Cerrados (80%) | Fogo - Cerrados (80%) | Soja - Cerrados (80%) | Solo - Cerrados (80%);14;710
Assessoria de comunicação;Assessoria (100%) | Assessoria de comunicação (100%) | Comunicação (100%) | Meio de comunicação (85%) | Comunicação D2D (85%) | Comunicação de massa (84%) | Comunicação de dados (82%) | Comunicação de ondas (82%) | Comunicação de risco (82%) | Meios de comunicação (82%) | Plano de Comunicação (82%) | Redes de comunicação (82%) | Comunicação oral (81%) | Canais de comunicação (80%);14;230
Anunciação, Aldri, 1977- crítica e interpretação;"Anunciação, Aldri, 1977- crítica e interpretação (100%) | Crítica (100%) | Interpretação (100%) | Canção - crítica e interpretação (84%) | Livros - crítica e interpretação (84%) | Platão - crítica e interpretação (84%) | Beowulf - crítica e interpretação (82%) | Interpretação vocal (81%) | Lisboa, Adriana; 1970- crítica e interpretação (81%) | Sócrates - crítica e interpretação (81%) | Zalmoxis - crítica e interpretação (81%) | Fraser, Nancy, 1947- crítica e interpretação (80%) | Lins, Paulo, 1958- crítica e interpretação (80%) | Queirós, Adirley, 1970- crítica e interpretação (80%)";14;57
Imagem cinematográfica;Imagem (100%) | Imagem cinematográfica (100%) | Linguagem cinematográfica (89%) | Tragédia cinematográfica (83%) | Adaptação cinematográfica (81%) | Crítica cinematográfica (81%) | Direção cinematográfica (81%) | Escrita cinematográfica (81%) | Narrativa cinematográfica (81%) | Representação cinematográfica (81%) | Representação cinematográfica - Brasília (DF) (81%) | Representação cinematográfica - cinema americano (81%) | Filmes cinematográficos (80%) | Imagem fotográfica (80%);14;85
Gestão de pessoas;Gestão (100%) | Gestão de pessoas (100%) | Gestão de pessoas - prática (100%) | Gestão de pessoas na administração pública (100%) | Gestão de pessoas por competências (100%) | Gestão estratégica de pessoas (100%) | Políticas de gestão de pessoas (100%) | Políticas e práticas de gestão de pessoas (100%) | Gestão de processos (89%) | Gestão de EaD (82%) | Gestão de projetos (80%) | Gestão de resíduos (80%) | Seleção de pessoas (80%) | Tráfico de pessoas (80%);14;121
Autenticação;Autenticação (100%) | Autenticação (Documentos) (100%) | Autenticação (Imagens) (100%) | Autenticação (Vídeo) (100%) | Autenticação contínua (100%) | Autenticação de pacotes (100%) | Autenticação digital (100%) | Autenticação gráfica (100%) | Autenticação semântica gráfica (100%) | Autenticação semântica humana (100%) | Duplo fator de autenticação (100%) | Métodos de autenticação (100%) | Protocolos de autenticação (100%) | Automedicação (80%);14;36
Sistema de Informação Geográfica (SIG);Informação (100%) | Sistema (100%) | Sistema de informação (100%) | Sistema de Informação Geográfica (SIG) (100%) | Sistemas de informação geográfica (90%) | Sistemas de informação geográfica - Brasil (88%) | Sistema de informação em saúde (82%) | Sistema Eletrônico de Informação (SEI) (82%) | Ações de informação (81%) | Áreas de informação (81%) | Fluxo de informação (81%) | Fonte de informação (81%) | Redes de informação (81%) | Sistema de TD&E (80%);14;179
Cimento;Cimento (100%) | Cimento - composição (100%) | Cimento - durabilidade (100%) | Cimento - indústria (100%) | Cimento - mistura (100%) | Cimento asfáltico (100%) | Cimento de Silicato (100%) | Cimento LC³ (100%) | Cimento Portland (100%) | Consumo de cimento (100%) | Indústria de cimento (100%) | Nascimento (82%) | Alimento (80%) | Pimentão (80%);14;65
Brasil. Constituição;Brasil. Constituição (100%) | Brasil. Constituição (1891) (100%) | Brasil. Constituição (1934) (100%) | Brasil. Constituição (1946) (100%) | Brasil. Constituição (1967) (100%) | Brasil. Constituição (1988) (100%) | Brasil. Constituição (1988). Emenda n. 72 (100%) | Brasil. Constituição - história (100%) | Brasil. Constituição - interpretação (100%) | Brasil. Constituição Imperial (1824) (100%) | Constituição (100%) | Constituição - Brasil (93%) | Constituição brasileira (88%) | Constituição - EUA (80%);14;75
Ética em inteligência artificial;Ética (100%) | Ética em inteligência artificial (100%) | Inteligência (100%) | Inteligência artificial (100%) | Inteligência artificial - ética (97%) | Inteligência artificial (IA) (90%) | Inteligência artificial generativa (88%) | Inteligência artificial gerativa (88%) | Inteligência artificial - legislação (85%) | Inteligência artificial explicável (85%) | Inteligência artificial - regulação (84%) | Inteligência Artificial Explicável (XAI) (84%) | Olho artificial (80%) | Vida artificial (80%);14;301
Câncer - pacientes - pós tratamento;Câncer (100%) | Câncer - pacientes (100%) | Câncer - pacientes - pós tratamento (100%) | Câncer - tratamento (100%) | Pacientes (100%) | Pacientes - tratamento (100%) | Tratamento (100%) | Mamas - câncer - tratamento (86%) | Dor - tratamento (86%) | Água - tratamento (83%) | Asma - tratamento (83%) | Câncer hepático - tratamento (81%) | Próstata - câncer - tratamento (81%) | Câncer - tratamento paliativo (81%);14;318
Proteção ambiental - energia da biomassa;Biomassa (100%) | Energia (100%) | Energia da biomassa (100%) | Proteção (100%) | Proteção ambiental (100%) | Proteção ambiental - energia da biomassa (100%) | Bambu - energia da biomassa (88%) | Energia da biomassa - impacto ambiental - avaliação (87%) | Ave - proteção (83%) | Energia da biomassa - Amazônia (82%) | Lei ambiental (82%) | Água - proteção (80%) | Aves - proteção (80%) | Solo - proteção (80%);14;202
Brasil - história - capitanias hereditárias, 1534-1762;Brasil (100%) | Brasil - história (100%) | Brasil - história - capitanias hereditárias, 1534-1762 (100%) | História (100%) | História - Brasil (100%) | Irã - história (83%) | Índios - Brasil - história (83%) | Direito - história - Brasil (81%) | História militar - Brasil (81%) | Arte - história (80%) | Cuba - história (80%) | Moda - história (80%) | Rios - história (80%) | TV Brasil (80%);14;341
Classificação de textos curtos;Classificação (100%) | Classificação de textos curtos (100%) | Textos (100%) | Classificação de texto (85%) | Classificação de risco (84%) | Classificação de grupos (82%) | Classificação de Mahler (82%) | Código de classificação (82%) | Classificação de crédito (81%) | Classificação de objetos (81%) | Classificação Fuzzy (81%) | Classificação de documentos (81%) | Classificação de imagens (80%) | Modelos de classificação (80%);14;51
Reprodução animal - patologias;Reprodução (100%) | Reprodução animal (100%) | Reprodução animal - patologias (100%) | Reprodução animal - suíno (86%) | Cão - reprodução (86%) | Reprodução animal - bovino (84%) | Reprodução animal - macaco (84%) | Aves - reprodução (83%) | Reprodução animal - pássaros (83%) | Ovino -  reprodução (80%) | Ovino - reprodução (80%) | Peixe - reprodução (80%) | Suíno - reprodução (80%) | Touro - reprodução (80%);14;136
Portugal - história;História (100%) | Portugal (100%) | Portugal - história (100%) | Português - história (87%) | Historiografia - Portugal (86%) | Irã - história (83%) | História oral (81%) | Pintura - história (81%) | Uruguai - história (81%) | Arte - história (80%) | Cuba - história (80%) | Moda - história (80%) | Ópera - história (80%) | Rios - história (80%);14;133
Brasil - fronteiras;Brasil (100%) | Brasil - fronteiras (100%) | Fortificações - Brasil - fronteiras (100%) | Fronteiras (100%) | Fronteiras - Brasil (100%) | Fronteiras - Brasil - Argentina (100%) | Fronteiras - Brasil - Bolívia (100%) | Fronteiras - Brasil - Uruguai (100%) | Hotéis - Brasil (82%) | Ferrovias - Brasil (81%) | Fronteira Brasil-Peru (80%) | Paraguai - fronteiras (80%) | Prisioneiros - Brasil (80%) | TV Brasil (80%);14;258
Reprodução animal  - aspectos endócrinos;Reprodução (100%) | Reprodução animal (100%) | Reprodução animal  - aspectos endócrinos (100%) | Reprodução animal - suíno (86%) | Cão - reprodução (86%) | Reprodução animal - bovino (84%) | Reprodução animal - macaco (84%) | Aves - reprodução (83%) | Reprodução animal - pássaros (81%) | Ovino -  reprodução (80%) | Ovino - reprodução (80%) | Peixe - reprodução (80%) | Suíno - reprodução (80%) | Touro - reprodução (80%);14;136
Estilo;Estilo (100%) | Estilo de governança (100%) | Estilo de vida (100%) | Estilo de vida - Amazônia (100%) | Estilo literário (100%) | Estilo musical (100%) | Estilo presidencial (100%) | Jornalismo - manuais de estilo (100%) | Linguagem - estilo (100%) | Mulheres - estilo de vida (100%) | Padrões de estilo de vida (100%) | Teatro (Literatura) - estilo (100%) | Estímulo (86%) | Estímulos (80%);14;36
Índios - legislação - Brasil - Austrália - Canadá;Brasil (100%) | Canadá (100%) | Índios - Brasil (100%) | Índios - legislação - Brasil - Austrália - Canadá (100%) | Legislação (100%) | Legislação - Brasil (100%) | Etnologia - índios - Canadá - Austrália - Brasil (87%) | Ensino - legislação - Brasil (84%) | Índios - saúde - Brasil (83%) | Racismo - legislação - Brasil (83%) | Índios - Brasil - México (81%) | Índios - México - Brasil (81%) | Índios Jê (80%) | TV Brasil (80%);14;249
Inseto - morfologia;Inseto (100%) | Inseto - morfologia (100%) | Morfologia (100%) | Rã - morfologia (89%) | Ovino - morfologia (86%) | Virologia - inseto (86%) | Equino - morfologia (84%) | Histomorfologia (82%) | Caprino - morfologia (82%) | Anuro - morfologia (81%) | Peixe - morfologia (81%) | Cobra - morfologia (80%) | Quati - morfologia (80%) | Sementes - morfologia (80%);14;92
Renzulli, Joseph, 1936- crítica e interpretação;Crítica (100%) | Interpretação (100%) | Renzulli, Joseph, 1936- crítica e interpretação (100%) | Canção - crítica e interpretação (84%) | Livros - crítica e interpretação (84%) | Platão - crítica e interpretação (84%) | Muñoz, José, 1942- crítica e interpretação (83%) | Rüsen, Jörn, 1938- crítica e interpretação (83%) | Jorge, Lídia, 1946- crítica e interpretação (82%) | Beowulf - crítica e interpretação (82%) | Interpretação vocal (81%) | Bodei, Remo, 1938- crítica e interpretação (81%) | Sócrates - crítica e interpretação (81%) | Zalmoxis - crítica e interpretação (81%);14;57
Povo;Povo (100%) | Povo - Ndyuka (100%) | Povo Baniwa (100%) | Povo Boni (Guiana Francesa) (100%) | Povo de Jurema (100%) | Povo Kagwahiva (100%) | Povo Krahô (100%) | Povo Munduruku (100%) | Povo Nasa (100%) | Povo Pankararu (100%) | Povo Rom (100%) | Povo Tuparí (100%) | Povo Wai wa (100%) | Povo Xukuru (100%);14;16
Capacitação profissional;Capacitação (100%) | Capacitação profissional (100%) | Atuação profissional (86%) | Readaptação profissional (83%) | Vida profissional (83%) | Prática profissional (82%) | Fiscalização profissional (82%) | Reabilitação profissional (82%) | Socialização profissional (82%) | Orientação Profissional (81%) | Preparação profissional (81%) | Realização profissional (81%) | Educação profissional (80%) | Ética profissional (80%);14;126
