Termo Sugerido (Mais Comum);Variações Detectadas (Duplicatas);Qtd Variações;Frequência Total
Promoção da saúde;Promoção de saúde [Score: 94] | Promoção à saúde [Score: 91];2;109
Taxonomia;Axonomia [Score: 94] | Tafonomia [Score: 89];2;106
Propriedades dinâmicas;Propriedade dinâmica [Score: 95] | Propriedades termodinâmicas [Score: 90];2;8
Políticas públicas - avaliação;Políticas públicas  - avaliação [Score: 98] | Políticas públicas - alimentação [Score: 90];2;98
Constitucionalismo;Institucionalismo [Score: 91] | Neoinstitucionalismo [Score: 89];2;48
Propriedades fotofísicas;Propriedades físicas [Score: 91] | Propriedades termofísicas [Score: 90];2;7
Inovação organizacional;Informação organizacional [Score: 92] | Inovação intraorganizacional [Score: 90];2;6
Usinas hidrelétricas;Usina hidrelétrica [Score: 95] | Turbinas hidroelétricas [Score: 88];2;39
Plantas - doenças e pragas;Pimenta - doenças e pragas [Score: 88] | Batatas - doenças e pragas [Score: 88];2;39
Gastroplastia;Gastropatia [Score: 92] | Artroplastia [Score: 88];2;7
Comportamento - avaliação;Comportamento  - avaliação [Score: 98] | Comportamento - variação [Score: 94];2;93
Língua portuguesa - estudo e ensino;Língua portuguesa - estudo e ensino - Brasil [Score: 89] | Língua portuguesa - estudo e ensino - surdos [Score: 89];2;49
Sistemas de informação geográfica;Sistema de Informação Geográfica (SIG) [Score: 90] | Sistemas de informação geográfica - Brasil [Score: 88];2;84
Estresse biótico;Estresse abiótico [Score: 97] | Estresses abióticos [Score: 91];2;8
Periódicos científicos;Periódico científico [Score: 95] | Periódicos científicos raros [Score: 88];2;48
Hematologia veterinária;Dermatologia veterinária [Score: 94] | Histologia veterinária [Score: 89];2;8
Bovino - reprodução;Ovino - reprodução [Score: 97] | Ovino -  reprodução [Score: 95];2;72
Contabilidade;Controlabilidade [Score: 90] | Confiabilidade [Score: 89];2;88
Vulnerabilidade social;Vulnerabilidad social [Score: 98] | Vulnerabilidade inicial [Score: 89];2;51
Microhabitats;Microhabitat [Score: 96] | Microhábitat [Score: 88];2;5
Performance (Arte);Perfomance (Arte) [Score: 97] | Performance ART [Score: 91];2;64
Transferência de dados;Transferência de DNA [Score: 90] | Transferência de kDNA [Score: 88];2;6
Cuidadores;Cuidados [Score: 89] | Cuidador [Score: 89];2;56
Neo-institucionalismo;Neoinstituionalismo [Score: 95] | Novo institucionalismo [Score: 88];2;6
Modelo de negócio;Modelo de negócios [Score: 97] | Modelos de negócios [Score: 94];2;5
Ostracode;Ostracodes [Score: 95] | Ostracoda [Score: 89];2;7
Museus - história;Museu - história [Score: 97] | Judeus - história [Score: 88];2;7
Campus universitário;Câmpus universitário [Score: 95] | Campi universitários [Score: 90];2;8
Material didático;Material paradidático [Score: 89] | Materiais didáticos [Score: 89];2;63
Livros didáticos;Livro didático [Score: 93] | Livros paradidáticos [Score: 89];2;60
Imposto sobre Circulação de Mercadorias e Serviços (ICMS);Imposto sobre circulação de mercadorias e serviços [Score: 93] | Imposto sobre circulação de mecadorias e serviços [Score: 92];2;9
Decolonialidade;Descolonialidade [Score: 97] | Colonialidade [Score: 93];2;90
Ensino e aprendizagem;Ensino - aprendizagem [Score: 95] | Ensino-aprendizagem [Score: 90];2;64
Biologia - filosofia;Psicologia - filosofia [Score: 90] | Sociologia - Filosofia [Score: 90];2;7
Ordem social;Desordem social [Score: 89] | Origem social [Score: 88];2;5
Sociolinguística;Sociolingüística [Score: 94] | socionguística [Score: 93];2;54
Bactérias;Basctérias [Score: 95] | Bactérías [Score: 89];2;50
Hemoglobinopatia;Hemoglobinopatias [Score: 97] | Hemoglobinapatias [Score: 91];2;7
Serviço público;Serviços públicos [Score: 94] | Servidor público [Score: 90];2;83
Metaloproteinases;Metaloproteinase [Score: 97] | Metaloprotease [Score: 90];2;6
Agroecologia;Agrogeologia [Score: 92] | Macroecologia [Score: 88];2;49
Ressignificação;Re-significação [Score: 93] | Significação [Score: 89];2;9
Equipamentos eletrônicos;Equipamentos eletromecânicos [Score: 88] | Equipamentos eletromédicos [Score: 88];2;3
Modelagem 3D;Modelagem 2D [Score: 92] | Modelagem CAD [Score: 88];2;6
Bovino;Bovinos [Score: 92] | Ovino [Score: 91];2;132
Desigualdade social;Desigualdades sociais [Score: 90] | Desigualdade racial [Score: 89];2;75
Leishmaniose;Leishmanioses [Score: 96] | Leishamaniose [Score: 96];2;67
Ciências - estudo e ensino;Ciência - estudo e ensino [Score: 98] | Cinema - estudo e ensino [Score: 88];2;77
Modos não lineares;Modelos não lineares [Score: 95] | Modelos não-lineares [Score: 89];2;3
Profissionais da saúde;Profissionais de Saúde [Score: 95] | Profissional de saúde [Score: 88];2;49
Desenho institucional;Desempenho institucional [Score: 93] | Desenho instrucional [Score: 93];2;6
Feridas diabéticas;Feridas diabética [Score: 97] | Ferida diabética [Score: 94];2;3
Serviços de saúde;Serviços  de saúde [Score: 97] | Serviço de saúde [Score: 97];2;66
Psicologia clínica;Sociologia clínica [Score: 89] | Psicologia crítica [Score: 89];2;69
Análise de Discurso Crítica;Análise do discurso crítica [Score: 96] | Análise do discurso - crítica [Score: 93];2;85
Território;Terreitório [Score: 95] | Territórios [Score: 95];2;65
Desenvolvimento econômico;Desenvolvimento socioeconômico [Score: 91] | Desenvolvimento socio-econômico [Score: 89];2;128
Estudantes universitários;Estudante universitário [Score: 96] | Restaurante universitário [Score: 88];2;60
Planejamento Urbano;Planejamentou urbano [Score: 97] | Planejameto urbano [Score: 97];2;165
Helmintos;Helminto [Score: 94] | Helmintoses [Score: 90];2;7
Tecnologia da informação;Tecnologias da informação [Score: 98] | Tipologia da informação [Score: 89];2;160
Energia elétrica;Energia hidrelétrica [Score: 89] | Energia eletrônica [Score: 88];2;34
Patrimônio;Matrimônio [Score: 90] | Fatrimônio [Score: 90];2;36
Clorofila;Clorofilas [Score: 95] | Clorofila-a [Score: 90];2;8
Brasil, Nordeste;Brasil - nordeste [Score: 91] | Brasil, Norte [Score: 90];2;36
Administração pública;Adminsitração pública [Score: 95] | Administração policial [Score: 88];2;198
Ecossistema;Ecossistemas [Score: 96] | Geossistema [Score: 91];2;33
Vestuário;Estuário [Score: 94] | Estuários [Score: 89];2;6
Física - estudo e ensino - ensino médio;Química - estudo e ensino - ensino médio [Score: 94] | Ciência - estudo e ensino - ensino médio [Score: 91];2;44
Financiamento;Cofinanciamento [Score: 93] | Desfinanciamento [Score: 90];2;33
Geofísica - Goiás (Estado);Geologia física - Goiás (Estado) [Score: 90] | Geografia física - Goiás (Estado) [Score: 88];2;3
Psicologia cultural;Psicologia - cultura [Score: 92] | Psicologia transcultural [Score: 88];2;35
Comunicação em Saúde;Comunicação e saúde [Score: 97] | Comunicaçãoem saúde [Score: 97];2;34
Gerenciamento de processos de negócio;Gerenciamento do processo de negócio [Score: 96] | Gerenciamento de Processos de Negócio (BPM) [Score: 92];2;3
Sustentabilidade;Sustentabilidade. [Score: 97] | Ssustentabilidade [Score: 97];2;230
Ações pedagógicas;Inovações pedagógicas [Score: 89] | Mediações pedagógicas [Score: 89];2;6
Ambiente de trabalho;Ambientes de trabalho [Score: 98] | Meio ambiente de trabalho [Score: 89];2;35
Cirurgia otológica;Cirurgia oncológica [Score: 92] | Cirurgia oftalmológica [Score: 90];2;3
Psicologia pediátrica;Psiconcologia pediátrica [Score: 93] | Psico-oncologia pediátrica [Score: 89];2;9
Algodão - doenças e pragas;Alho - doenças e pragas [Score: 90] | Mamão - doenças e pragas [Score: 88];2;46
Existência;Reexistência [Score: 91] | Coexistência [Score: 91];2;7
Integração social;Interação social [Score: 97] | Reintegração social [Score: 94];2;63
Políticas neoliberais;Política neoliberal [Score: 90];1;3
Telenovelas;Telenovela [Score: 95];1;6
Identidade corporativa;Entidades corporativas [Score: 91];1;3
Modelos dinâmicos;Modelo dinâmico [Score: 94];1;6
Módulo de elasticidade;Módulos de elasticidade [Score: 98];1;4
Igreja;Igrejas [Score: 92];1;3
Ações afetivas;Relações afetivas [Score: 90];1;4
Tratados internacionais;Adotados internacionais [Score: 91];1;3
Algoritimos adaptativos;Algoritmos adaptativos [Score: 98];1;3
Revitalização linguística;Neutralização Linguística [Score: 88];1;3
Biopesticidas;Biopesticida [Score: 96];1;3
Política agrária;Política tarifária [Score: 88];1;3
Percepção de raça;Percepção de ameaça [Score: 89];1;4
Publicação;Publicização [Score: 91];1;5
Filtros biológicos;Filtros ecológicos [Score: 89];1;6
Holocelulases;Holocelulose [Score: 88];1;3
África - política internacional;Água - política internacional [Score: 90];1;3
Transporte público - qualidade;Transporte público - gratuidade [Score: 89];1;3
Laboratório de inovação;Laboratórios de inovação [Score: 98];1;3
História do jornalismo;História - jornalismo [Score: 93];1;3
Política internacional - Brasil - Estados Unidos;Política internacional - Estados Unidos [Score: 90];1;4
Direito como integridade;Direito - integridade [Score: 89];1;3
Aterro experimental;Arte experimental [Score: 89];1;3
Bipolaron;Bipolarons [Score: 95];1;3
Direito comparado - Brasil - EUA;Direito comparado - Brasil - EUA - UE [Score: 93];1;3
Políticas institucionais;Política institucional [Score: 91];1;4
Juventude - interação social;Juventude -  interação social [Score: 98];1;3
Direito e desenvolvimento;Direito ao desenvolvimento [Score: 94];1;3
Eletrocatálise;Electrocatálise [Score: 97];1;3
Mulheres grávidas - doenças;Mulheres idosas - doenças [Score: 88];1;4
Direito e Psicologia;Direito e biologia [Score: 89];1;3
Intervenção familiar;Intervenção militar [Score: 92];1;3
Bactéria não-patogênica;Bactéria não patogênica [Score: 96];1;3
Intermídia;Intermídias [Score: 95];1;3
Doença arterial coronariana;Doença Arterial Coronariana (DAC) [Score: 90];1;4
Interleucina-6;Interleucina 6 [Score: 93];1;3
Modelagem de equações estruturais;Modelagem por equações estruturais [Score: 93];1;3
Levantamentos nutricionais - Brasil;Levantamentos nutricionais - Brasília (DF) [Score: 88];1;4
Avaliação de Tecnologias em Saúde (ATS);Avaliação de tecnologias de saúde [Score: 89];1;3
Leite - qualidade - Distrito Federal (Brasil);Alimentos - qualidade - Distrito Federal (Brasil) [Score: 91];1;4
Peptídeos bioativos;Peptídeo bioativo [Score: 94];1;5
Boca - ferimentos e lesões;Tíbia - ferimentos e lesões [Score: 91];1;4
Interoperabilidade de redes;Interoperabilidade de dados [Score: 89];1;3
Expoentes de Lyapunov;Expoente de Lyapunov [Score: 98];1;5
Geologia histórica;Geologia isotópica [Score: 89];1;7
Docentes - perfil;Discente - perfil [Score: 88];1;4
Inquérito alimentar;Inquérito parlamentar [Score: 90];1;3
Avaliação educacional - escolas;Avaliação educacional - música [Score: 89];1;3
Política setorial;Política editorial [Score: 91];1;3
Adenocarcinoma pancreático ductal;Adenocarcinoma pancreático [Score: 88];1;3
Lei Antiterrorismo;Lei  Antiterrorismo [Score: 97];1;3
Transporte rodoviário de carga - avaliação;Transporte rodoviário de carga - Amazônia [Score: 89];1;3
Método da máxima verossimilhança;Método de máxima verossimilhança [Score: 97];1;6
Feminilidade - aspectos psicológicos;Espiritualidade - aspectos psicológicos [Score: 88];1;3
Preferências incompletas;Preferências completas [Score: 96];1;3
Música e tecnologia;Música - tecnologia [Score: 95];1;5
Impercepção botânica;Percepção botânica [Score: 95];1;3
Atuação política;Ação política [Score: 90];1;3
Biodestoxificação;Biodetoxificação [Score: 97];1;3
Seguro depósito;Seguro de depósitos [Score: 88];1;3
Petrologia - Colômbia;Etnologia - Colômbia [Score: 93];1;4
Diálogos;Diálogo [Score: 93];1;6
Pernas;Penas [Score: 91];1;4
Biocerâmicos;Biocerâmicas [Score: 92];1;3
Texto;Textos [Score: 91];1;3
Ciências ambientais;Ciência ambiental [Score: 89];1;3
Riegl, Alois;Reigl, Alois [Score: 92];1;3
Classe;Classes [Score: 92];1;3
Fenol;Feno [Score: 89];1;3
Mídia social - Brasil;Medicina social - Brasil [Score: 89];1;4
Ferritas de cobalto;Ferrita de cobalto [Score: 97];1;4
Radiação eletromagnética;Propagação eletromagnética [Score: 88];1;4
Livros didáticos - física;Livros didáticos - química [Score: 90];1;4
Dermatoscopia;Dermoscopia [Score: 92];1;4
Manifestações políticas;Manifestações públicas [Score: 89];1;3
Custos - setor público;Custo no setor público [Score: 91];1;3
Diário;Diários [Score: 92];1;4
Litogeoquímica;Biogeoquímica [Score: 89];1;5
Modelo constitutivo;Modelos constitutivos [Score: 95];1;5
Paisagismo - Brasília (DF);Paisagens - Brasília (DF) [Score: 90];1;5
Realismo científico;Jornalismo científico [Score: 90];1;4
Classificação supervisionada;Classificação semisupervisionada [Score: 93];1;3
Telômeros;Telômero [Score: 94];1;3
Cognição social;Condição social [Score: 93];1;7
Tratamento cirúrgico;Tratamento não-cirúrgico [Score: 91];1;3
Periodicidade;Ergodicidade [Score: 88];1;6
Índios - Brasil - aspectos políticos;Indígenas - Brasil - aspectos políticos [Score: 88];1;3
Método de Newton-Raphson;Método Newton-Raphson [Score: 93];1;6
Retrotransposon LTR;Retrotransposons (LTR) [Score: 93];1;3
Política Nacional de Agroecologia e Produção Orgânica (PNAPO);Comissão Nacional de Agroecologia e Produção Orgânica (CNAPO) [Score: 89];1;3
Bolsa de estudo;Bolsas de estudos [Score: 94];1;4
Norma jurídica;Normas jurídicas [Score: 93];1;3
Imunobiológicos;Munobiológicos [Score: 97];1;3
Sombras;Sombra [Score: 92];1;4
Agências de notícias;Agência de notícias [Score: 97];1;3
Imunoglobulina G (IgG);Imunoglobulina A (IgA) [Score: 91];1;3
Bibliotecas - usuários;Bibliotecas e usuários [Score: 95];1;3
Unidades de Terapia Intensiva Pediátrica;Unidade de terapia intensiva pediátrica [Score: 99];1;4
Incorporação;Corporação [Score: 91];1;3
Incubação;Intubação [Score: 89];1;3
Offsets;Offset [Score: 92];1;5
Controladores para voo;Controlador para voo [Score: 95];1;3
Desapropriação;Apropriação [Score: 88];1;5
Benznidazol;Benzonidazol [Score: 96];1;3
Rio Branco, José Maria da Silva Paranhos Junior, Barão do, 1845-1912;Rio Branco, José Maria da Silva Paranhos Júnior, Barão do, 1845-1912 [Score: 99];1;3
Independência do Brasil;Independencia do Brasil [Score: 96];1;3
Custo econômico;Custos econômicos [Score: 94];1;3
Poder público;Poder bélico [Score: 88];1;3
Neodesenvolvimentismo;Novo desenvolvimentismo [Score: 91];1;4
PPAR;PPARɣ [Score: 89];1;3
Poéticas contemporâneas;Ética contemporânea [Score: 90];1;3
Sistemas com interações de longo alcance;Sistemas com interação de longo alcance [Score: 94];1;3
Linguagem e línguas - variação;Linguagem e línguas - avaliação [Score: 95];1;5
Auto-relato;Autorrelato [Score: 91];1;3
Poder do Estado;Poderes do Estado [Score: 94];1;3
Método de reciprocidade dual;Método da Reciprocidade Dual [Score: 96];1;4
Universidade de Brasília. Faculdade de Educação Física;Universidade de Brasília. Faculdade de Educação Física - história [Score: 91];1;3
Instituto Nacional de Colonização e Reforma Agrária (INCRA);Instituto Nacional de Colonização e Reforma Agrária (INCRA) - Pará [Score: 94];1;3
Águas subterrâneas - Distrito Federal (Brasil);Águas subterrâneas - qualidade - Distrito Federal (Brasil) [Score: 88];1;6
Mulheres e religião;Mulheres - religião [Score: 95];1;6
Processo participativo;Projeto participativo [Score: 88];1;3
Hipogonadismo;Lipogonadismo [Score: 92];1;3
Processo de trabalho;Processos de trabalho [Score: 98];1;3
Capacidade;Incapacidade [Score: 91];1;3
Gestão da inovação tecnológica;Gestão da informação tecnológica [Score: 94];1;3
Capacidade produtiva;Capacidade preditiva [Score: 90];1;3
Processo oxidativo avançado;Processos oxidativos avançados [Score: 95];1;3
Propriedade;Propriedade Z [Score: 92];1;3
Cladocera;Cladócera [Score: 89];1;5
Tolerância à seca;tolerância a seca [Score: 94];1;3
Índices;Índice [Score: 92];1;5
Carreira política;Carreiras políticas [Score: 94];1;5
Etnologia jurídica;Metodologia jurídica [Score: 89];1;5
Proteína morfogenética óssea;Proteína Morfogenética Óssea 9 [Score: 97];1;3
Aeroacústica;Termoacústica [Score: 88];1;5
Velhice - aspectos psicológicos;Velhice - aspectos fisiológicos [Score: 94];1;3
Processos conscientes;Processos inconscientes [Score: 95];1;3
Genomas - processamento de dados;Geologia - processamento de dados [Score: 89];1;3
Cardol;Cardols [Score: 92];1;3
Redes e sistemas distribuídos;Redes de sistemas distribuídos [Score: 98];1;5
Protocolo MAC;Protocolos MAC [Score: 96];1;3
Organização para Cooperação e Desenvolvimento Econômico (OCDE);Organização de cooperação e desenvolvimento econômico [Score: 89];1;5
Geologia - Tocantins (TO);Geocronologia - Tocantins (TO) [Score: 91];1;5
Protocolo de biossegurança;Protocolos de segurança [Score: 90];1;3
Grupos psicoeducativos;Grupos socioeducativos [Score: 91];1;3
Alergia alimentar;Alergias alimentares [Score: 92];1;5
Organização familiar;Reorganização familiar [Score: 95];1;6
Fertilização in vitro;Fertilização in vivo [Score: 93];1;5
Cardiopatia congênita;Cardiopatias congênitas [Score: 95];1;3
Arquitetura moderna - preservação;Arquitetura moderna - conservação [Score: 91];1;3
Óleo de palmeira;Óleo de palma [Score: 90];1;7
Usina Hidrelétrica de Itaipu;Usina Hidrelétrica de Jirau [Score: 91];1;3
Adenomas hipofisários;Adenoma hipofisário [Score: 95];1;7
Gastroenterite;Gastrenterite [Score: 96];1;5
Tobravírus;Tobravirus [Score: 90];1;3
Hepatite C - diagnóstico;Hepatite B - diagnóstico [Score: 96];1;3
Hispersensibilidade cutânea;Hipersensibilidade cutânea [Score: 98];1;3
Transferência de renda;Transferência de genoma [Score: 89];1;3
Processos estruturais;Processo estrutural [Score: 90];1;3
Processos empíricos;Processo empírico [Score: 94];1;3
Procuradoria Geral da República (PGR);Procuradoria Geral da República [Score: 91];1;3
Transformações de Ribaucour;Transformação de Ribaucour [Score: 91];1;3
Lagoas;Lagos [Score: 91];1;3
Geração de valor;Agregação de valor [Score: 88];1;4
Filosofia e religião;Filosofia da religião [Score: 93];1;5
Fisiologia veterinária;Sorologia veterinária [Score: 88];1;6
Propriedades Psicométricas;Propriedades geométricas [Score: 88];1;3
Química ambiental;Geoquímica ambiental [Score: 92];1;5
Mulheres - educação;Mulheres na educação [Score: 92];1;5
Índice de Moran;Índices de Moran [Score: 97];1;5
Cidadania - Distrito Federal (Brasil);Hidroponia - Distrito Federal (Brasil) [Score: 88];1;6
Processamento semântico;Processamento mecânico [Score: 89];1;3
Lipopolissacarídeo;Lipopolissacarídeos [Score: 97];1;3
Tipologia arquitetônica;Topologia arquitetônica [Score: 96];1;3
Ciclo de vida;Ciclos de vida [Score: 96];1;5
Transparência passiva;Transparência ativa [Score: 90];1;3
Adolescentes - educação;Adolescentes - educação moral [Score: 88];1;5
Fatores psicossociais;Valores psicossociais [Score: 90];1;5
Tireóide - tumores;Tireoide - tumores [Score: 94];1;3
Morango - doenças e pragas;Mogno - doenças e pragas [Score: 92];1;5
Fluxo de informação;Fluxos de informação [Score: 97];1;5
Fitonematóide;Fitonematóides [Score: 96];1;6
Vazamentos;Vazamento [Score: 95];1;3
Processo colaborativo;Processos colaborativos [Score: 95];1;3
Nutrientes;Nutrients [Score: 95];1;5
Tiossemicarbazonas;Tiossemicarbazona [Score: 97];1;4
Teto de gastos;Teto dos gastos [Score: 90];1;5
Proteção dos Direitos Humanos;Promoção dos direitos humanos [Score: 93];1;3
Podologia equina;Odontologia equina [Score: 88];1;3
Projeto Orla;Projeto Orvil [Score: 88];1;3
Projetos sociais;Protestos sociais [Score: 91];1;4
Bovino - crescimento;Ovino - crescimento [Score: 97];1;3
Triângulos;Triângulo [Score: 95];1;3
Harmonização;Hormonização [Score: 92];1;3
Capivaras;Capivara [Score: 94];1;5
Investidores (Finanças);Investidores - finanças [Score: 91];1;3
Troca iônica;Troca catiônica [Score: 89];1;3
Politecnia;Politeia [Score: 89];1;3
Produção florestal;Projeção florestal [Score: 89];1;3
Polissacarídeo;Polissacarídeos [Score: 97];1;3
Informação musical;Formação musical [Score: 94];1;3
Informações geográficas;Informações topográficas [Score: 89];1;3
Benefícios fiscais;Benefícios sociais [Score: 89];1;3
Mineração - ouro;Mineração - urânio [Score: 88];1;5
Cardiomiopatia chagásica;Cardiopatia chagásica [Score: 93];1;4
Produção in vitro de embriões (PIVE);Produção in vitro de embriões [Score: 89];1;3
Indicadores financeiros;Indicador financeiro [Score: 93];1;3
Vaginite bacteriana;Vaginose bacteriana [Score: 89];1;3
Automação de biblioteca;Automação de bibliotecas [Score: 98];1;3
Polarização;Popularização [Score: 92];1;4
Proteínas recombinantes;Proteína recombinante [Score: 95];1;7
Indústria criativa;Indústrias criativas [Score: 95];1;4
Indicadores ambientais;Indicadores socioambientais [Score: 90];1;3
Turismo - desenvolvimento;Cursos - desenvolvimento [Score: 90];1;4
Bacias hidrográficas - Rio Preto;Bacia Hidrográfica do Rio Preto [Score: 92];1;3
Interfaces interativas;Interface interativas [Score: 98];1;3
Legendagem para surdos e ensurdecidos;Legendas para surdos e ensurdecidos [Score: 94];1;3
Organizações Sociais;Organizações civis [Score: 89];1;7
Instituto Federal de Brasília;Instituto federal de Brasília (IFB) [Score: 91];1;3
Campos de Murundus;Campo de murundu [Score: 94];1;3
Campos, Augusto de  - crítica e interpretação;Campos, Haroldo de  - crítica e interpretação [Score: 89];1;3
Arte - religião;Arte e religião [Score: 93];1;3
Topografia - geossistemas;Topografia - ecossistemas [Score: 96];1;3
Geografia das infâncias;Geografia da Infância [Score: 95];1;5
Leite humano - avaliação;Leite materno - avaliação [Score: 90];1;3
Literatura antiga;Literatura latina [Score: 88];1;4
Artigos de periódico;Artigos de periódicos [Score: 98];1;3
Leitores;Eleitores [Score: 94];1;3
Trabalhadores - ossos - doenças;Trabalhadores - músculos - doenças [Score: 89];1;4
Leitos cultivados;Leito cultivado [Score: 94];1;3
Trabalhadores - saúde mental;Trabalhador da saúde mental [Score: 91];1;3
Cadeia de suprimentos de software;Cadeia de suprimento de software [Score: 98];1;3
Trabalhadores escravizados;Trabalhadores precarizados [Score: 88];1;3
Pesticidas - resíduos em alimentos - Brasil;Pesticidas - resíduos em alimentos [Score: 88];1;3
Nação;Enação [Score: 91];1;5
Programa de integridade;Programas de integridade [Score: 98];1;3
Lesbianismo - história;Messianismo - história [Score: 91];1;4
Brassica oleracea L. var. acephala D.C.;Brassica oleracea var. acephala [Score: 89];1;3
Coleta seletiva;Coletiva seletiva [Score: 94];1;5
Gramática comparada e geral - fonologia;Gramática comparada e geral - morfologia [Score: 94];1;3
Programa Nacional de Atividades  Espaciais (Brasil);Programa Nacional de Atividades Espaciais [Score: 89];1;3
Programa Luz para Todos;Programa água para todos [Score: 89];1;3
Reassentamento;Ressentimento [Score: 89];1;4
Pessoas com deficiência física - reabilitação;Pessoas com deficiência física - legislação [Score: 91];1;3
Prospecção tecnológica;Proteção tecnológica [Score: 90];1;5
Teatralidade;Teatralidades [Score: 96];1;5
Arroz - melhoramento genético;Bagres - melhoramento genético [Score: 88];1;3
Geógrafo;Geógrafos [Score: 94];1;3
Transferência;Transferências [Score: 96];1;3
Linguagem e lógica;Linguagem lógica [Score: 94];1;3
Canto lírico;Cantor lírico [Score: 96];1;3
Haitianos;Haitianas [Score: 89];1;3
Callado, Antonio, 1917-1997 - crítica e interpretação;Candido, Antonio, 1918-2017 - crítica e interpretação [Score: 89];1;3
Direito e tecnologia;Direito à tecnologia [Score: 95];1;4
Classificadores;Classificador [Score: 93];1;3
Cidades históricas;Cidades - história [Score: 89];1;4
Antropologia política;Antropologia da política [Score: 93];1;4
Centro de Referência Especializada de Assistência Social (CREAS);Centro de Referência Especializado de Assistência Social (CREAS) [Score: 98];1;4
Análise da informação;Analise da informação [Score: 95];1;4
Acurácia;Inacurácia [Score: 89];1;4
Esquecimento;Escurecimento [Score: 88];1;4
Auditoria - qualidade;Auditoria - penalidade [Score: 88];1;4
Propriedade territorial - legislação - Brasil;Propriedade territorial - legislação [Score: 89];1;6
Conflitos sociais;Conflitos raciais [Score: 88];1;4
Arte - filosofia;Morte - filosofia [Score: 91];1;4
Transição democrática;Transição demográfica [Score: 90];1;4
Professores de educação física - formação;Professores de educação física - formação continuada [Score: 88];1;4
Guerra contra o terrorismo, 2001-;Guerra contra o terrorismo [Score: 88];1;4
Aspectos psicológicos;Aspectos sociológicos [Score: 90];1;5
Assédio no ambiente de trabalho;Assédio sexual no ambiente de trabalho [Score: 90];1;4
Repetições máximas;Repetições submáximas [Score: 92];1;4
Psicoterapeuta e paciente;Terapeuta e paciente [Score: 89];1;5
Cobertura vacinal;Coberturas vacinais [Score: 89];1;5
Reconhecimento de entidade nomeada;Reconhecimento de entidades nomeadas [Score: 97];1;5
Reabilitação profissional;Realização profissional [Score: 92];1;4
Sociologia da violência;Tipologia da violência [Score: 89];1;4
Sistemas de ancoragem;Sistema de ancoragem [Score: 98];1;4
Fator de crescimento;Fatores de crescimento [Score: 95];1;4
Subnotificação;Notificação [Score: 88];1;4
Violência verbal;Valência verbal [Score: 90];1;4
Subjetividade feminina;Subjetividades femininas [Score: 96];1;4
Tendão calcâneo;Tendão do calcâneo [Score: 91];1;4
Ambiente hospitalar;Ambientes  hospitalares [Score: 90];1;4
Exercícios aeróbicos;Exercício aeróbico [Score: 95];1;4
Audiências de custódia;Audiência de custódia [Score: 98];1;4
Violência contra as mulheres - legislação;Violência contra as mulheres - legislação - Brasil [Score: 90];1;5
Ato de concentração;Atos de concentração [Score: 97];1;5
Esquemas de reforçamento;Esquema de reforçamento [Score: 98];1;5
Reconhecimento ótico de caracteres (OCR);Reconhecimento ótico de caracteres [Score: 92];1;5
Extrativismo - Minas Gerais (MG);Turismo - Minas Gerais (MG) [Score: 88];1;4
Termoelasticidade;Aeroelasticidade [Score: 91];1;4
Wikipédia;Wikipedia [Score: 89];1;4
Crédito de carbono;Créditos de carbono [Score: 97];1;4
Equipe especializada de apoio à aprendizagem;Equipes Especializadas de Apoio à Aprendizagem (EEAA) [Score: 91];1;6
Games;Gamers [Score: 91];1;4
Conversor analógico-digital;Conversores analógico-digitais [Score: 91];1;4
Amapá (Estado) - história;Ceará (Estado) - história [Score: 88];1;4
Teoria da Argumentação Jurídica;Teorias da argumentação jurídica [Score: 98];1;4
Epidemiologia descritiva;Epidemiologia - descritiva [Score: 96];1;4
Sociologia - Brasil;Psicologia - Brasil [Score: 89];1;5
Teoria da atividade;Teoria da utilidade [Score: 89];1;5
Alegorias;Alegoria [Score: 94];1;4
Física experimental;Música experimental [Score: 89];1;5
Comportamento precorrente;Comportamentos precorrentes [Score: 96];1;4
Proteínas salivares;Proteases Salivares [Score: 89];1;4
Serviços de saúde infantil - Brasil;Serviços de saúde mental - Brasil [Score: 88];1;5
Serviços de saúde para idosos;Serviços de saúde - idosos [Score: 91];1;4
Caracterização geológica;Caracterização tecnológica [Score: 92];1;5
Tolerância ao exercício;Intolerância ao exercício [Score: 96];1;4
Tecnologia reprodutiva;Patologia reprodutiva [Score: 88];1;4
Mãos - anatomia;Cão - anatomia [Score: 90];1;4
Arquétipos de sistemas;Arquétipos do sistemas [Score: 95];1;4
Sistemas dissipativos;Sistemas não dissipativos [Score: 91];1;4
Crianças - letramento - Distrito Federal (Brasil);Surdos - letramento - Distrito Federal (Brasil) [Score: 90];1;4
Função paterna;Função materna [Score: 93];1;5
Análise qualitativa;Análise quantitativa [Score: 92];1;5
Entorno - Distrito Federal;Metrô - Distrito Federal [Score: 88];1;4
Transferência de conhecimento;Transferência do conhecimento [Score: 97];1;4
Crise política - Brasil;Crime político - Brasil [Score: 91];1;4
Transconstitucionalismo;Transconstitutionalismo [Score: 96];1;4
Zoologia - classificação;Biologia - classificação [Score: 92];1;4
Geocronologia - Goiás (Estado);Geomorfologia - Goiás (Estado) [Score: 90];1;5
Vacinas de RNA;Vacinas de DNA [Score: 93];1;4
Criogenia;Criogeniano [Score: 90];1;4
Genes - família SETD;Genes - família NSD [Score: 92];1;4
